Name,Price,Description,Image
Apple iPhone 13,$799,A flagship smartphone with a powerful A15 Bionic chip and advanced cameras.,iphone.jpg
Samsung Galaxy Watch 4,$249,"Smartwatch with health tracking features, AMOLED display, and long battery life.",galaxy-watch.jpg
Sony WH-1000XM4,$349,Noise-canceling headphones with exceptional sound quality and comfort.,sony-headphones.jpg
MacBook Pro 14,"$1,799",High-performance laptop with a stunning Retina display and M1 Pro chip.,macbook.jpg
Google Pixel 6 Pro,$899,Android smartphone with a top-notch camera system and 5G connectivity.,pixel-6-pro.jpg
Bose QuietComfort Earbuds,$279,True wireless earbuds with active noise cancellation and excellent audio quality.,quiet-comfort.jpg
Amazon Echo (4th Gen),$99,Smart speaker with Alexa voice assistant and immersive sound.,echo.jpg
Samsung QLED QN90A,"$1,499","4K QLED TV with Quantum HDR, Object Tracking Sound, and AI-powered processor.",qled.jpg
Nintendo Switch OLED,$349,Gaming console with a vibrant OLED display and versatile play modes.,switch.jpg
Sony PlayStation 5,$499,"Next-gen gaming console with 4K graphics, ultra-fast SSD, and haptic feedback.",playstation.jpg
Microsoft Surface Laptop 4,$999,Sleek and powerful laptop with a touchscreen display and all-day battery life.,surface.jpg
Oculus Quest 2,$299,"VR headset with high-resolution display, ergonomic design, and hand tracking.",quest.jpg
Canon EOS R6,"$2,399","Mirrorless camera with 20.1MP sensor, 4K video recording, and in-body image stabilization.",eos.jpg
Razer BlackWidow V3,$139,Mechanical gaming keyboard with customizable Chroma RGB lighting.,blackwidow.jpg
HP Spectre x360,"$1,299","Convertible laptop with a 4K OLED display, powerful performance, and sleek design.",spectre.jpg
